UF,Mun,Pop estimada 2021,Faixa_pop,Regiao
TO,Angico,3475,1 - Até 5000,1 - Norte
TO,Aparecida do Rio Negro,4901,1 - Até 5000,1 - Norte
TO,Aragominas,5705,2 - 5001 até 10000,1 - Norte
TO,Araguacema,7223,2 - 5001 até 10000,1 - Norte
TO,Araguaçu,8418,2 - 5001 até 10000,1 - Norte
TO,Araguaína,186245,6 - 100001 até 500000,1 - Norte
TO,Araguanã,5856,2 - 5001 até 10000,1 - Norte
TO,Araguatins,36573,4 - 20001 até 50000,1 - Norte
TO,Arapoema,6590,2 - 5001 até 10000,1 - Norte
TO,Arraias,10502,3 - 10001 até 20000,1 - Norte
TO,Augustinópolis,18870,3 - 10001 até 20000,1 - Norte
TO,Aurora do Tocantins,3809,1 - Até 5000,1 - Norte
TO,Axixá do Tocantins,9817,2 - 5001 até 10000,1 - Norte
TO,Babaçulândia,10668,3 - 10001 até 20000,1 - Norte
TO,Bandeirantes do Tocantins,3631,1 - Até 5000,1 - Norte
TO,Barra do Ouro,4673,1 - Até 5000,1 - Norte
TO,Barrolândia,5669,2 - 5001 até 10000,1 - Norte
TO,Bernardo Sayão,4439,1 - Até 5000,1 - Norte
TO,Bom Jesus do Tocantins,5120,2 - 5001 até 10000,1 - Norte
TO,Brasilândia do Tocantins,2221,1 - Até 5000,1 - Norte
TO,Brejinho de Nazaré,5540,2 - 5001 até 10000,1 - Norte
TO,Buriti do Tocantins,11644,3 - 10001 até 20000,1 - Norte
TO,Cachoeirinha,2293,1 - Até 5000,1 - Norte
TO,Campos Lindos,10505,3 - 10001 até 20000,1 - Norte
TO,Cariri do Tocantins,4499,1 - Até 5000,1 - Norte
TO,Carmolândia,2627,1 - Até 5000,1 - Norte
TO,Carrasco Bonito,4165,1 - Até 5000,1 - Norte
TO,Caseara,5514,2 - 5001 até 10000,1 - Norte
TO,Centenário,2966,1 - Até 5000,1 - Norte
TO,Chapada de Areia,1415,1 - Até 5000,1 - Norte
TO,Chapada da Natividade,3330,1 - Até 5000,1 - Norte
TO,Colinas do Tocantins,36271,4 - 20001 até 50000,1 - Norte
TO,Combinado,4870,1 - Até 5000,1 - Norte
TO,Conceição do Tocantins,4070,1 - Até 5000,1 - Norte
TO,Couto Magalhães,5690,2 - 5001 até 10000,1 - Norte
TO,Cristalândia,7268,2 - 5001 até 10000,1 - Norte
TO,Crixás do Tocantins,1749,1 - Até 5000,1 - Norte
TO,Darcinópolis,6250,2 - 5001 até 10000,1 - Norte
TO,Dianópolis,22704,4 - 20001 até 50000,1 - Norte
TO,Divinópolis do Tocantins,6986,2 - 5001 até 10000,1 - Norte
TO,Dois Irmãos do Tocantins,7173,2 - 5001 até 10000,1 - Norte
TO,Dueré,4686,1 - Até 5000,1 - Norte
TO,Esperantina,11280,3 - 10001 até 20000,1 - Norte
TO,Fátima,3824,1 - Até 5000,1 - Norte
TO,Figueirópolis,5222,2 - 5001 até 10000,1 - Norte
TO,Filadélfia,8892,2 - 5001 até 10000,1 - Norte
TO,Formoso do Araguaia,18358,3 - 10001 até 20000,1 - Norte
TO,Tabocão,2615,1 - Até 5000,1 - Norte
TO,Goianorte,5136,2 - 5001 até 10000,1 - Norte
TO,Goiatins,13169,3 - 10001 até 20000,1 - Norte
TO,Guaraí,26403,4 - 20001 até 50000,1 - Norte
